coarse_factor,Q,negative_share,glin_bad_share,coll_bad_share,time_sec,evals,invalid_count,plot_png
2.0,0.056464241164241175,0.066,0.02702702702702703,0.009615384615384616,4.343007299990859,45927,0,outputs\plots\skv621_mkm_bf_coarse_2_0.png
3.0,0.06015343035343036,0.0685,0.04391891891891892,0.009615384615384616,0.1933632000000216,1792,0,outputs\plots\skv621_mkm_bf_coarse_3_0.png
4.0,0.06015343035343036,0.0685,0.04391891891891892,0.009615384615384616,0.18251539999619126,1792,0,outputs\plots\skv621_mkm_bf_coarse_4_0.png
6.0,0.41822245322245327,0.425,0.0033783783783783786,0.7788461538461539,0.002415900002233684,7,0,outputs\plots\skv621_mkm_bf_coarse_6_0.png
10.0,0.41822245322245327,0.425,0.0033783783783783786,0.7788461538461539,0.002945000014733523,7,0,outputs\plots\skv621_mkm_bf_coarse_10_0.png
