interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,85,1778.61,1795.41,85,ga,0.060000000000000005,0.047058823529411764,glin_bad_share,0.2235294117647059,7.22907939995639,39249,0,118
1,1,85,113,1795.61,1801.01,28,ga,0.011428571428571429,0.014285714285714285,coll_bad_share,0.0,3.3424304999643937,18270,0,55
2,2,113,146,1801.21,1807.61,33,ga,0.00787878787878788,0.006060606060606061,glin_bad_share,0.030303030303030304,5.217383799958043,33045,0,99
3,1,146,170,1807.81,1812.41,24,ga,0.013333333333333334,0.016666666666666666,coll_bad_share,0.0,3.2612041999818757,19905,0,60
4,2,170,199,1812.61,1818.21,29,ga,0.030344827586206897,0.020689655172413793,glin_bad_share,0.13793103448275862,4.821141800028272,30126,0,90
5,1,199,292,1818.41,1836.81,93,ga,0.04,0.047311827956989246,coll_bad_share,0.021505376344086023,4.513188699958846,23227,0,70
6,2,292,315,1837.01,1841.41,23,ga,0.07478260869565218,0.06086956521739131,glin_bad_share,0.2608695652173913,2.8820533000398427,19255,0,57
7,1,315,356,1841.61,1849.61,41,ga,0.011707317073170733,0.014634146341463415,coll_bad_share,0.0,3.033077400061302,20231,0,61
8,2,356,422,1849.81,1862.81,66,ga,0.04909090909090909,0.02727272727272727,glin_bad_share,0.2727272727272727,4.761482100002468,28158,0,84
