interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,139,1703.47,1731.07,139,ga,0.06705035971223022,0.010071942446043165,glin_bad_share,0.5899280575539568,5.1736064000288025,33393,0,100
1,1,139,169,1731.27,1737.07,30,ga,0.0,0.0,coll_bad_share,0.0,2.3613716999534518,17934,0,54
2,2,169,231,1737.27,1749.47,62,ga,0.0064516129032258064,0.0,glin_bad_share,0.06451612903225806,4.022802000050433,29473,0,88
3,1,231,241,1749.67,1751.47,10,ga,0.0,0.0,coll_bad_share,0.0,2.034478599904105,16648,0,50
4,2,241,259,1751.67,1755.07,18,ga,0.008888888888888889,0.011111111111111112,glin_bad_share,0.0,3.3173709999537095,25220,0,75
5,1,259,281,1755.27,1759.47,22,ga,0.014545454545454545,0.01818181818181818,coll_bad_share,0.0,2.70464309991803,21880,0,66
6,2,281,326,1759.67,1768.47,45,ga,0.013777777777777778,0.008888888888888889,glin_bad_share,0.06666666666666667,5.636379800038412,42882,0,129
7,1,326,354,1768.67,1774.07,28,ga,0.0,0.0,coll_bad_share,0.0,5.369023600011133,39579,0,120
8,2,354,366,1774.27,1776.47,12,ga,0.0,0.0,glin_bad_share,0.0,2.787659000023268,21557,0,64
9,1,366,388,1776.67,1780.87,22,ga,0.0,0.0,coll_bad_share,0.0,2.3114744999911636,18599,0,56
10,2,388,464,1781.07,1796.07,76,ga,0.0,0.0,glin_bad_share,0.0,4.771282600006089,33716,0,101
