interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,13,1911.01,1913.41,13,ga,0.015384615384615385,0.0,glin_bad_share,0.15384615384615385,1.0362174999900162,8683,0,55
1,1,13,33,1913.61,1917.41,20,ga,0.008,0.01,coll_bad_share,0.0,0.969728900003247,8111,0,51
2,2,33,115,1917.61,1933.81,82,ga,0.009512195121951221,0.007317073170731708,glin_bad_share,0.036585365853658534,1.7522744000307284,13180,0,84
3,1,115,227,1934.01,1956.21,112,ga,0.05857142857142858,0.07321428571428572,coll_bad_share,0.0,1.350050100008957,10066,0,64
4,2,227,261,1956.41,1963.01,34,ga,0.13294117647058823,0.041176470588235294,glin_bad_share,1.0,1.5790863999864087,13031,0,83
5,1,261,321,1963.21,1975.01,60,ga,0.08266666666666667,0.10333333333333333,coll_bad_share,0.0,1.120556400041096,8863,0,56
6,2,321,403,1975.21,1991.41,82,ga,0.023170731707317076,0.012195121951219513,glin_bad_share,0.13414634146341464,2.197629100002814,16701,0,107
