interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,47,1856.38,1865.58,47,bf,0.0727659574468085,0.07234042553191489,glin_bad_share,0.14893617021276595,6.935816000041086,65536,32,0
1,1,47,57,1865.78,1867.58,10,bf,0.048,0.06,coll_bad_share,0.0,5.937892199959606,65536,16,0
2,2,57,399,1867.78,1935.98,342,bf,0.05233918128654971,0.049707602339181284,glin_bad_share,0.12573099415204678,9.600314899988007,65536,32,0
3,1,399,442,1936.18,1944.58,43,bf,0.0074418604651162795,0.009302325581395349,coll_bad_share,0.0,6.763172400009353,65536,16,0
4,2,442,469,1944.78,1949.98,27,bf,0.0,0.0,glin_bad_share,0.0,6.532874000025913,65536,32,0
5,1,469,489,1950.18,1953.98,20,bf,0.0,0.0,coll_bad_share,0.0,6.713216899952386,65536,16,0
