interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,18,1634.03,1637.43,18,bf,0.02666666666666667,0.03333333333333333,glin_bad_share,0.0,6.62905409996165,65536,32,0
1,1,18,236,1637.63,1681.03,218,bf,0.05541284403669725,0.03486238532110092,coll_bad_share,0.27522935779816515,8.56971790001262,65536,16,0
2,2,236,276,1681.23,1689.03,40,bf,0.16000000000000003,0.2,glin_bad_share,0.0,6.45451489998959,65536,32,0
3,1,276,287,1689.23,1691.23,11,bf,0.16000000000000003,0.2,coll_bad_share,0.0,6.066447200020775,65536,16,0
4,2,287,306,1691.43,1695.03,19,bf,0.16000000000000003,0.2,glin_bad_share,0.0,6.157948800013401,65536,32,0
5,1,306,530,1695.23,1739.83,224,bf,0.07901785714285714,0.06696428571428571,coll_bad_share,0.2544642857142857,9.015417799993884,65536,16,0
6,2,530,540,1740.03,1741.83,10,bf,0.032,0.04,glin_bad_share,0.0,5.8318533999845386,65536,32,0
7,1,540,563,1742.03,1746.43,23,bf,0.0,0.0,coll_bad_share,0.0,5.995093200006522,65536,16,0
8,2,563,604,1746.63,1754.63,41,bf,0.02731707317073171,0.03414634146341464,glin_bad_share,0.0,6.288014599995222,65536,32,0
9,1,604,615,1754.83,1756.83,11,bf,0.12363636363636366,0.10909090909090909,coll_bad_share,0.36363636363636365,6.098359700001311,65536,16,0
10,2,615,658,1757.03,1765.43,43,bf,0.0074418604651162795,0.009302325581395349,glin_bad_share,0.0,6.88001920003444,65536,32,0
11,1,658,681,1765.63,1770.03,23,bf,0.08347826086956522,0.10434782608695652,coll_bad_share,0.0,6.101364400004968,65536,16,0
12,2,681,715,1770.23,1776.83,34,bf,0.1,0.0,glin_bad_share,1.0,6.114663499989547,65536,32,0
