interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,96,1620.61,1639.61,96,ga,0.02395833333333333,0.010416666666666666,glin_bad_share,0.15625,1.84116869996069,14074,0,90
1,1,96,214,1639.81,1663.21,118,ga,0.016271186440677966,0.020338983050847456,coll_bad_share,0.0,1.1565417000092566,8709,0,55
2,2,214,242,1663.41,1668.81,28,ga,0.030714285714285715,0.007142857142857143,glin_bad_share,0.25,1.4388438000460155,12239,0,78
3,1,242,298,1669.01,1680.01,56,ga,0.014285714285714285,0.017857142857142856,coll_bad_share,0.0,0.9817710000206716,7957,0,50
4,2,298,367,1680.21,1693.81,69,ga,0.011594202898550725,0.014492753623188406,glin_bad_share,0.0,1.3706795999896713,10985,0,70
5,1,367,396,1694.01,1699.61,29,ga,0.0,0.0,coll_bad_share,0.0,0.9726674000266939,8267,0,52
6,2,396,425,1699.81,1705.41,29,ga,0.0,0.0,glin_bad_share,0.0,1.4079654999659397,11920,0,76
7,1,425,442,1705.61,1708.81,17,ga,0.0,0.0,coll_bad_share,0.0,0.9583437999826856,8400,0,53
