interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,1,0,1,1611.83,1611.83,1,ga,0.0,0.0,coll_bad_share,0.0,0.905171699996572,7957,0,50
1,2,1,37,1612.03,1619.03,36,ga,0.0,0.0,glin_bad_share,0.0,0.9237717000069097,7904,0,50
2,1,37,60,1619.23,1623.63,23,ga,0.0,0.0,coll_bad_share,0.0,0.9494039000128396,7957,0,50
3,2,60,75,1623.83,1626.63,15,ga,0.0,0.0,glin_bad_share,0.0,0.8831064000260085,7904,0,50
4,1,75,100,1626.83,1631.63,25,ga,0.0,0.0,coll_bad_share,0.0,0.9219319999683648,7957,0,50
5,2,100,166,1631.83,1644.83,66,ga,0.0,0.0,glin_bad_share,0.0,0.9391790999798104,7904,0,50
6,1,166,209,1645.03,1653.43,43,ga,0.0074418604651162795,0.009302325581395349,coll_bad_share,0.0,1.0049537000013515,8400,0,53
7,2,209,260,1653.63,1663.63,51,ga,0.0,0.0,glin_bad_share,0.0,0.9375997999450192,7904,0,50
8,1,260,274,1663.83,1666.43,14,ga,0.011428571428571429,0.014285714285714285,coll_bad_share,0.0,0.9329272999893874,8267,0,52
9,2,274,422,1666.63,1696.03,148,ga,0.0032432432432432435,0.004054054054054054,glin_bad_share,0.0,1.061772299988661,7904,0,50
