interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,1,0,42,1837.2,1845.4,42,bf,0.01904761904761905,0.023809523809523808,coll_bad_share,0.0,6.571307900012471,65536,16,0
1,2,42,69,1845.6,1850.8,27,bf,0.052592592592592594,0.05185185185185185,glin_bad_share,0.1111111111111111,6.346744499984197,65536,32,0
2,1,69,166,1851.0,1870.2,97,bf,0.013195876288659794,0.016494845360824743,coll_bad_share,0.0,7.52837279997766,65536,16,0
3,2,166,208,1870.4,1878.6,42,bf,0.029047619047619048,0.009523809523809525,glin_bad_share,0.21428571428571427,6.592680500005372,65536,32,0
4,1,208,326,1878.8,1902.2,118,bf,0.03932203389830509,0.04915254237288136,coll_bad_share,0.0,7.372608900011983,65536,16,0
5,2,326,342,1902.4,1905.4,16,bf,0.07625000000000001,0.025,glin_bad_share,0.5625,5.889426800014917,65536,32,0
6,1,342,409,1905.6,1918.8,67,bf,0.026268656716417912,0.03283582089552239,coll_bad_share,0.0,6.6549791999859735,65536,16,0
