parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
population_size,220.0,67,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45792
population_size,220.0,68,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45939
population_size,220.0,69,0.0588020790,0.0685000000,0.0304054054,0.0096153846,46088
cxpb,0.6,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
cxpb,0.6,1,0.0733182952,0.0820000000,0.0675675676,0.0096153846,2640
cxpb,0.6,2,0.0724561331,0.0805000000,0.0709459459,0.0096153846,3596
cxpb,0.6,3,0.0670426195,0.0750000000,0.0608108108,0.0096153846,4687
cxpb,0.6,4,0.0636291060,0.0720000000,0.0506756757,0.0096153846,5876
cxpb,0.6,5,0.0629534304,0.0720000000,0.0439189189,0.0096153846,6880
cxpb,0.6,6,0.0629534304,0.0720000000,0.0439189189,0.0096153846,7977
cxpb,0.6,7,0.0618777547,0.0715000000,0.0371621622,0.0096153846,9047
cxpb,0.6,8,0.0615399168,0.0715000000,0.0337837838,0.0096153846,10093
cxpb,0.6,9,0.0614777547,0.0710000000,0.0371621622,0.0096153846,11190
cxpb,0.6,10,0.0614777547,0.0710000000,0.0371621622,0.0096153846,12244
cxpb,0.6,11,0.0614777547,0.0710000000,0.0371621622,0.0096153846,13317
cxpb,0.6,12,0.0611399168,0.0710000000,0.0337837838,0.0096153846,14396
cxpb,0.6,13,0.0611399168,0.0710000000,0.0337837838,0.0096153846,15472
cxpb,0.6,14,0.0610777547,0.0705000000,0.0371621622,0.0096153846,16531
cxpb,0.6,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17573
cxpb,0.6,16,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18689
cxpb,0.6,17,0.0599399168,0.0695000000,0.0337837838,0.0096153846,19807
cxpb,0.6,18,0.0599399168,0.0695000000,0.0337837838,0.0096153846,20939
cxpb,0.6,19,0.0599399168,0.0695000000,0.0337837838,0.0096153846,22066
cxpb,0.6,20,0.0599399168,0.0695000000,0.0337837838,0.0096153846,23113
cxpb,0.6,21,0.0596020790,0.0695000000,0.0304054054,0.0096153846,24145
cxpb,0.6,22,0.0596020790,0.0695000000,0.0304054054,0.0096153846,25244
cxpb,0.6,23,0.0596020790,0.0695000000,0.0304054054,0.0096153846,26380
cxpb,0.6,24,0.0596020790,0.0695000000,0.0304054054,0.0096153846,27414
cxpb,0.6,25,0.0596020790,0.0695000000,0.0304054054,0.0096153846,28474
cxpb,0.6,26,0.0596020790,0.0695000000,0.0304054054,0.0096153846,29298
cxpb,0.6,27,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30081
cxpb,0.6,28,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30847
cxpb,0.6,29,0.0596020790,0.0695000000,0.0304054054,0.0096153846,31612
cxpb,0.6,30,0.0596020790,0.0695000000,0.0304054054,0.0096153846,32420
cxpb,0.6,31,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33205
cxpb,0.6,32,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33931
cxpb,0.6,33,0.0592642412,0.0695000000,0.0270270270,0.0096153846,34487
cxpb,0.6,34,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35067
cxpb,0.6,35,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35711
cxpb,0.6,36,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36327
cxpb,0.6,37,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36883
cxpb,0.6,38,0.0591399168,0.0685000000,0.0337837838,0.0096153846,37551
cxpb,0.6,39,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38163
cxpb,0.6,40,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38799
cxpb,0.6,41,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39270
cxpb,0.6,42,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39729
cxpb,0.6,43,0.0591399168,0.0685000000,0.0337837838,0.0096153846,40031
cxpb,0.6,44,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40329
cxpb,0.6,45,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40669
cxpb,0.6,46,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40985
cxpb,0.6,47,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41279
cxpb,0.6,48,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41581
cxpb,0.6,49,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41925
cxpb,0.6,50,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42251
cxpb,0.6,51,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42547
cxpb,0.6,52,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42855
cxpb,0.6,53,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43157
cxpb,0.6,54,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43473
cxpb,0.6,55,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43797
cxpb,0.6,56,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44117
cxpb,0.6,57,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44279
cxpb,0.6,58,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44425
cxpb,0.6,59,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44595
cxpb,0.6,60,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44728
cxpb,0.6,61,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44881
cxpb,0.6,62,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45032
cxpb,0.6,63,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45188
cxpb,0.6,64,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45339
cxpb,0.6,65,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45486
cxpb,0.6,66,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45639
cxpb,0.6,67,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45792
cxpb,0.6,68,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45939
cxpb,0.6,69,0.0588020790,0.0685000000,0.0304054054,0.0096153846,46088
mutpb,0.25,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
mutpb,0.25,1,0.0733182952,0.0820000000,0.0675675676,0.0096153846,2640
mutpb,0.25,2,0.0724561331,0.0805000000,0.0709459459,0.0096153846,3596
mutpb,0.25,3,0.0670426195,0.0750000000,0.0608108108,0.0096153846,4687
mutpb,0.25,4,0.0636291060,0.0720000000,0.0506756757,0.0096153846,5876
mutpb,0.25,5,0.0629534304,0.0720000000,0.0439189189,0.0096153846,6880
mutpb,0.25,6,0.0629534304,0.0720000000,0.0439189189,0.0096153846,7977
mutpb,0.25,7,0.0618777547,0.0715000000,0.0371621622,0.0096153846,9047
mutpb,0.25,8,0.0615399168,0.0715000000,0.0337837838,0.0096153846,10093
mutpb,0.25,9,0.0614777547,0.0710000000,0.0371621622,0.0096153846,11190
mutpb,0.25,10,0.0614777547,0.0710000000,0.0371621622,0.0096153846,12244
mutpb,0.25,11,0.0614777547,0.0710000000,0.0371621622,0.0096153846,13317
mutpb,0.25,12,0.0611399168,0.0710000000,0.0337837838,0.0096153846,14396
mutpb,0.25,13,0.0611399168,0.0710000000,0.0337837838,0.0096153846,15472
mutpb,0.25,14,0.0610777547,0.0705000000,0.0371621622,0.0096153846,16531
mutpb,0.25,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17573
mutpb,0.25,16,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18689
mutpb,0.25,17,0.0599399168,0.0695000000,0.0337837838,0.0096153846,19807
mutpb,0.25,18,0.0599399168,0.0695000000,0.0337837838,0.0096153846,20939
mutpb,0.25,19,0.0599399168,0.0695000000,0.0337837838,0.0096153846,22066
mutpb,0.25,20,0.0599399168,0.0695000000,0.0337837838,0.0096153846,23113
