label,method_family,subdivisions,tested_matrices,quality_score,negative_share,glin_bad_share,coll_bad_share,time_sec,intervals,invalid_count,generations
bf_2,bf,2,256,0.176912681912682,0.065,0.0472972972972973,0.009615384615384616,0.057497800000419375,7,0,0
bf_3,bf,3,6561,0.155602079002079,0.0645,0.030405405405405407,0.009615384615384616,1.3827829000001657,7,0,0
bf_4,bf,4,65536,0.09602079002079,0.0645,0.030405405405405407,0.009615384615384616,13.791236400000344,7,176,0
bf_5,bf,5,390625,0.05696424116424117,0.0645,0.02702702702702703,0.009615384615384616,81.48221660000127,7,12,0
ga,ga,,11357,0.056402079002079,0.0655,0.030405405405405407,0.009615384615384616,2.7293758999949205,7,0,248
