interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,19,1837.92,1841.52,19,ga,0.055789473684210535,0.06315789473684211,glin_bad_share,0.05263157894736842,3.169592099962756,24217,0,72
1,1,19,41,1841.72,1845.92,22,ga,0.02181818181818182,0.02727272727272727,coll_bad_share,0.0,2.216440499993041,16648,0,50
2,2,41,89,1846.12,1855.52,48,ga,0.03125,0.020833333333333332,glin_bad_share,0.14583333333333334,5.104521400062367,39574,0,119
3,1,89,173,1855.72,1872.32,84,ga,0.011428571428571429,0.014285714285714285,coll_bad_share,0.0,3.1312513999873772,21546,0,65
4,2,173,250,1872.52,1887.72,77,ga,0.00857142857142857,0.0025974025974025974,glin_bad_share,0.06493506493506493,3.337568699964322,24886,0,74
5,1,250,260,1887.92,1889.72,10,ga,0.0,0.0,coll_bad_share,0.0,2.125628100009635,16648,0,50
6,2,260,277,1889.92,1893.12,17,ga,0.029411764705882356,0.0,glin_bad_share,0.29411764705882354,2.657522900030017,21557,0,64
7,1,277,310,1893.32,1899.72,33,ga,0.03393939393939394,0.04242424242424243,coll_bad_share,0.0,2.1648548000957817,16983,0,51
8,2,310,396,1899.92,1916.92,86,ga,0.03255813953488372,0.011627906976744186,glin_bad_share,0.23255813953488372,3.0804317999863997,22212,0,66
9,1,396,445,1917.12,1926.72,49,ga,0.03265306122448979,0.04081632653061224,coll_bad_share,0.0,3.0312043000012636,22877,0,69
10,2,445,468,1926.92,1931.32,23,ga,0.049565217391304345,0.034782608695652174,glin_bad_share,0.21739130434782608,3.171422200044617,24886,0,74
