interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,19,1837.92,1841.52,19,bf,0.055789473684210535,0.06315789473684211,glin_bad_share,0.05263157894736842,6.585451600025408,65536,32,0
1,1,19,41,1841.72,1845.92,22,bf,0.02181818181818182,0.02727272727272727,coll_bad_share,0.0,6.2262335999985225,65536,16,0
2,2,41,89,1846.12,1855.52,48,bf,0.04583333333333334,0.041666666666666664,glin_bad_share,0.125,6.417908900009934,65536,32,0
3,1,89,173,1855.72,1872.32,84,bf,0.011428571428571429,0.014285714285714285,coll_bad_share,0.0,6.671419500024058,65536,16,0
4,2,173,250,1872.52,1887.72,77,bf,0.009350649350649352,0.005194805194805195,glin_bad_share,0.05194805194805195,6.577578300028108,65536,32,0
5,1,250,260,1887.92,1889.72,10,bf,0.0,0.0,coll_bad_share,0.0,6.211133899982087,65536,16,0
6,2,260,277,1889.92,1893.12,17,bf,0.023529411764705882,0.0,glin_bad_share,0.23529411764705882,5.964847500028554,65536,32,0
7,1,277,310,1893.32,1899.72,33,bf,0.03393939393939394,0.04242424242424243,coll_bad_share,0.0,6.421294699946884,65536,16,0
8,2,310,396,1899.92,1916.92,86,bf,0.034186046511627904,0.009302325581395349,glin_bad_share,0.26744186046511625,6.829131500038784,65536,32,0
9,1,396,445,1917.12,1926.72,49,bf,0.029387755102040822,0.036734693877551024,coll_bad_share,0.0,6.621458399982657,65536,16,0
10,2,445,468,1926.92,1931.32,23,bf,0.05478260869565218,0.05217391304347826,glin_bad_share,0.13043478260869565,6.442280200019013,65536,32,0
