interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,29,1777.89,1783.49,29,ga,0.04689655172413793,0.041379310344827586,glin_bad_share,0.13793103448275862,1.170208299998194,9433,0,60
1,1,29,89,1783.69,1795.49,60,ga,0.010666666666666668,0.013333333333333334,coll_bad_share,0.0,1.0755431999568827,8400,0,53
2,2,89,169,1795.69,1811.49,80,ga,0.0045000000000000005,0.0025,glin_bad_share,0.025,1.5450917999842204,12077,0,77
3,1,169,258,1811.69,1829.29,89,ga,0.010786516853932586,0.01348314606741573,coll_bad_share,0.0,1.1149140000343323,8863,0,56
4,2,258,451,1829.49,1867.89,193,ga,0.005284974093264248,0.002072538860103627,glin_bad_share,0.03626943005181347,1.2504374000127427,8835,0,56
