hyperparameter,hyperparameter_value,n_intervals,mean_local_score,std_local_score,min,q1,median,q3,max,whisker_low,whisker_high,mean_evals,mean_elapsed_sec
ngen,40,7,0.04297875356,0.07130943634,0,0.001515151515,0.02,0.03891048593,0.2,0,0.09500348755,5385,0.7742664286
ngen,90,7,0.0429752543,0.0712714589,0,0.001515151515,0.02084507042,0.03847570332,0.2,0,0.09391653104,4912.714286,0.702007
ngen,140,7,0.04298538779,0.07022204153,0,0.001515151515,0.02,0.04038107417,0.1971052632,0,0.09867995814,5745.714286,0.796209
ngen,190,7,0.04308986307,0.06970426316,0,0.001515151515,0.02084507042,0.04098209718,0.1957894737,0,0.1001825157,5623.142857,0.8208058571
ngen,240,7,0.04053832149,0.0666027693,0,0.001515151515,0.01633802817,0.03891048593,0.1865789474,0,0.09500348755,6645.571429,0.9267977143
ngen,290,7,0.04285452995,0.07131589394,0,0.001515151515,0.02,0.03847570332,0.2,0,0.09391653104,6047.571429,0.8764115714
ngen,340,7,0.04436623174,0.07485189576,0,0.001515151515,0.02084507042,0.03847570332,0.2097368421,0,0.09391653104,5095.142857,0.716404
ngen,390,7,0.04205025349,0.06920372569,0,0.001515151515,0.01633802817,0.04064961637,0.1936842105,0,0.09935131364,6348.142857,0.8851365714
ngen,400,7,0.04207299866,0.06895462926,0,0.001515151515,0.02084507042,0.03847570332,0.1936842105,0,0.09391653104,5263,0.7395854286
