depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1856.3800,2,0.342699,0.186536,0.038283,0.187088,0.245394,0.701339,0.830132,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1856.5800,2,0.361377,0.226346,0.031489,0.163757,0.217030,0.750634,0.838720,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1856.7800,2,0.436835,0.151738,0.039761,0.220393,0.151273,0.693477,0.847165,пористый,seal_kaolinite_clay,каолинитовая тяжелая глина
1856.9800,2,0.394375,0.128605,0.054651,0.265460,0.156909,0.620313,0.829275,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1857.1800,2,0.293521,0.201259,0.057886,0.262546,0.184788,0.606933,0.819350,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1857.3800,2,0.251133,0.246798,0.058412,0.269112,0.174545,0.603220,0.821656,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1857.5800,2,0.148855,0.348775,0.068264,0.233440,0.200667,0.622556,0.773739,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1857.7800,2,0.000000,0.483699,0.075776,0.141926,0.298600,0.689618,0.651927,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1857.9800,2,0.000000,0.545027,0.047498,0.037368,0.370107,0.865269,0.440318,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1858.1800,2,0.000000,0.503580,0.046492,0.034550,0.415378,0.861377,0.426324,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1858.3800,2,0.000000,0.436395,0.056174,0.063937,0.443494,0.784171,0.532315,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1858.5800,2,0.057356,0.307177,0.072088,0.137561,0.425818,0.634874,0.656148,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1858.7800,2,0.160770,0.238554,0.060059,0.144375,0.396242,0.661397,0.706217,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1858.9800,2,0.000000,0.425439,0.025265,0.063384,0.485912,0.827561,0.714997,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1859.1800,2,0.000000,0.448326,0.008719,0.043127,0.499828,0.896344,0.831832,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1859.3800,2,0.000000,0.424660,0.016761,0.094643,0.463936,0.792181,0.849544,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1859.5800,2,0.151219,0.246214,0.048190,0.208801,0.345576,0.607302,0.812484,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1859.7800,2,0.414321,0.012038,0.086888,0.305904,0.180848,0.520488,0.778794,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1859.9800,2,0.384939,0.112422,0.107328,0.271311,0.124000,0.567764,0.716543,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1860.1800,2,0.257642,0.265111,0.103495,0.225388,0.148364,0.613821,0.685313,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1860.3800,2,0.105812,0.396610,0.099010,0.149478,0.249091,0.669084,0.601551,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1860.5800,2,0.000000,0.445990,0.080934,0.089674,0.383402,0.723308,0.525615,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1860.7800,2,0.000000,0.341103,0.066838,0.145467,0.446591,0.616368,0.685178,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1860.9800,2,0.000000,0.273989,0.052544,0.207926,0.465540,0.512647,0.798272,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1861.1800,2,0.000000,0.307426,0.038134,0.222145,0.432295,0.541524,0.853488,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1861.3800,2,0.085130,0.145772,0.049595,0.365747,0.353758,0.357298,0.880593,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1861.5800,2,0.382498,0.000000,0.053526,0.409311,0.154666,0.452481,0.884352,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1861.7800,2,0.325068,0.109917,0.063925,0.352120,0.148970,0.511128,0.846350,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1861.9800,2,0.142805,0.309014,0.069541,0.281185,0.197455,0.562982,0.801722,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1862.1800,2,0.112354,0.327264,0.073829,0.285765,0.200788,0.550065,0.794688,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1862.3800,2,0.164736,0.247032,0.077355,0.299907,0.210970,0.521867,0.794958,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1862.5800,2,0.011344,0.343503,0.064523,0.237842,0.342788,0.539928,0.786607,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1862.7800,2,0.000000,0.411755,0.041860,0.118911,0.427474,0.719191,0.739630,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1862.9800,2,0.000000,0.332471,0.048564,0.114186,0.504779,0.671358,0.701605,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1863.1800,2,0.000000,0.260887,0.048963,0.137364,0.552786,0.583360,0.737219,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1863.3800,2,0.000000,0.300794,0.028274,0.121541,0.549391,0.667528,0.811273,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1863.5800,2,0.000000,0.287217,0.023587,0.180342,0.508854,0.584789,0.884335,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1863.7800,2,0.221922,0.122203,0.044449,0.283972,0.327455,0.511675,0.864659,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1863.9800,2,0.159405,0.247962,0.047895,0.244374,0.300364,0.582255,0.836127,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1864.1800,2,0.000000,0.421840,0.042334,0.150328,0.385498,0.686475,0.780268,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1864.3800,2,0.000000,0.386543,0.060159,0.110536,0.442762,0.693676,0.647563,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1864.5800,2,0.022627,0.331085,0.078157,0.099525,0.468606,0.665630,0.560131,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1864.7800,2,0.145371,0.227411,0.085189,0.128878,0.413152,0.635227,0.602046,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1864.9800,2,0.248076,0.171021,0.090273,0.209964,0.280667,0.582618,0.699327,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1865.1800,2,0.213526,0.229051,0.087135,0.252712,0.217576,0.565648,0.743605,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1865.3800,2,0.153019,0.234813,0.083537,0.273540,0.255091,0.520643,0.766054,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1865.5800,2,0.183521,0.119727,0.087855,0.294472,0.314424,0.442327,0.770209,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1865.7800,1,0.141285,0.014402,0.207379,0.311387,0.325547,0.230835,0.600245,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1865.9800,1,0.244645,0.000915,0.227275,0.324272,0.202893,0.308064,0.587932,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1866.1800,1,0.238262,0.005989,0.220147,0.391371,0.144230,0.285418,0.639999,пористый,sand_arkose_wacke,пористый аркозовый песчаник
1866.3800,1,0.131734,0.021882,0.219337,0.441866,0.185182,0.188527,0.668276,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
