interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,96,1620.61,1639.61,96,bf,0.03375,0.029166666666666667,glin_bad_share,0.10416666666666667,7.077682700008154,65536,32,0
1,1,96,214,1639.81,1663.21,118,bf,0.016271186440677966,0.020338983050847456,coll_bad_share,0.0,7.560119999980088,65536,16,0
2,2,214,242,1663.41,1668.81,28,bf,0.03214285714285715,0.0,glin_bad_share,0.32142857142857145,6.261769400036428,65536,32,0
3,1,242,298,1669.01,1680.01,56,bf,0.014285714285714285,0.017857142857142856,coll_bad_share,0.0,6.445429400017019,65536,16,0
4,2,298,367,1680.21,1693.81,69,bf,0.01246376811594203,0.002898550724637681,glin_bad_share,0.10144927536231885,6.68467479996616,65536,32,0
5,1,367,396,1694.01,1699.61,29,bf,0.0,0.0,coll_bad_share,0.0,6.073412299971096,65536,16,0
6,2,396,425,1699.81,1705.41,29,bf,0.008965517241379312,0.006896551724137931,glin_bad_share,0.034482758620689655,6.400782400043681,65536,32,0
7,1,425,442,1705.61,1708.81,17,bf,0.0,0.0,coll_bad_share,0.0,6.118437199969776,65536,16,0
