interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,1,0,89,1697.35,1714.95,89,bf,0.005842696629213484,0.0044943820224719105,coll_bad_share,0.02247191011235955,6.8833685999852605,65536,16,0
1,2,89,282,1715.15,1753.55,193,bf,0.039896373056994824,0.010362694300518135,glin_bad_share,0.3160621761658031,8.173643600021023,65536,32,0
2,1,282,309,1753.75,1758.95,27,bf,0.0,0.0,coll_bad_share,0.0,6.386011100024916,65536,16,0
3,2,309,344,1759.15,1765.95,35,bf,0.014285714285714285,0.0,glin_bad_share,0.14285714285714285,6.6161869000061415,65536,32,0
4,1,344,391,1766.15,1775.35,47,bf,0.0,0.0,coll_bad_share,0.0,6.268571099964902,65536,16,0
5,2,391,403,1775.55,1777.75,12,bf,0.0,0.0,glin_bad_share,0.0,5.992670100007672,65536,32,0
