start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1743.5200,1745.3200,1.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,9
1745.3200,1746.1200,0.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,4
1746.1200,1746.3200,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1746.3200,1746.5200,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1746.5200,1746.7200,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1746.7200,1747.3200,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
1747.3200,1749.9200,2.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,13
1749.9200,1750.3200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1750.3200,1753.7200,3.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,17
1753.7200,1753.9200,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1753.9200,1757.7200,3.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,19
1757.7200,1758.7200,1.0000,1,sand_arkose_wacke,пористый аркозовый песчаник,5
1758.7200,1758.9200,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1758.9200,1759.1200,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1759.1200,1760.1200,1.0000,1,sand_arkose_wacke,плотный аркозовый песчаник,5
1760.1200,1760.7200,0.6000,1,sand_arkose_wacke,пористый аркозовый песчаник,3
1760.7200,1760.9200,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1760.9200,1761.3200,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1761.3200,1761.7200,0.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,2
1761.7200,1761.9200,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1761.9200,1763.7200,1.8000,1,sand_arkose_wacke,плотный аркозовый песчаник,9
1763.7200,1765.1200,1.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,7
1765.1200,1765.9200,0.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,4
1765.9200,1770.7200,4.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,24
1770.7200,1771.1200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1771.1200,1772.5200,1.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,7
1772.5200,1775.3200,2.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,14
1775.3200,1775.9200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1775.9200,1776.3200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1776.3200,1776.7200,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1776.7200,1778.3200,1.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,8
1778.3200,1778.7200,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1778.7200,1779.1200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1779.1200,1779.3200,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1779.3200,1779.7200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1779.7200,1788.1200,8.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,42
1788.1200,1788.3200,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1788.3200,1789.9200,1.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,8
1789.9200,1792.3200,2.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,12
1792.3200,1792.7200,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1792.7200,1793.3200,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
1793.3200,1793.7200,0.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,2
1793.7200,1794.1200,0.4000,1,sand_arkose_arenite,плотный аркозовый аренит,2
1794.1200,1794.5200,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1794.5200,1795.1200,0.6000,1,sand_arkose_wacke,плотный аркозовый песчаник,3
1795.1200,1795.3200,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1795.3200,1795.5200,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1795.5200,1796.1200,0.6000,1,sand_arkose_wacke,пористый аркозовый песчаник,3
1796.1200,1796.5200,0.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,2
1796.5200,1797.3200,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1797.3200,1797.5200,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1797.5200,1799.5200,2.0000,1,sand_arkose_wacke,пористый аркозовый песчаник,10
1799.5200,1800.5200,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1800.5200,1801.3200,0.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,4
1801.3200,1801.7200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1801.7200,1802.1200,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1802.1200,1803.1200,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1803.1200,1803.3200,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1803.3200,1804.7200,1.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,7
1804.7200,1805.9200,1.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,6
1805.9200,1806.9200,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1806.9200,1807.5200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1807.5200,1808.3200,0.8000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,4
1808.3200,1811.9200,3.6000,1,sand_arkose_wacke,пористый аркозовый песчаник,18
1811.9200,1812.1200,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1812.1200,1819.3200,7.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,36
1819.3200,1819.5200,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1819.5200,1820.1200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1820.1200,1821.1200,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1821.1200,1822.3200,1.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,6
1822.3200,1823.1200,0.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,4
1823.1200,1825.1200,2.0000,1,sand_arkose_wacke,пористый аркозовый песчаник,10
1825.1200,1826.1200,1.0000,1,sand_arkose_wacke,плотный аркозовый песчаник,5
1826.1200,1826.5200,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1826.5200,1828.3200,1.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,9
1828.3200,1828.7200,0.4000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,2
1828.7200,1828.9200,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1828.9200,1829.1200,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1829.1200,1832.1200,3.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,15
