depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1743.6200,2,0.251023,0.312297,0.189902,0.174233,0.072545,0.607383,0.478485,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1743.8200,2,0.246974,0.275190,0.197378,0.199186,0.081273,0.568355,0.502281,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1744.0200,2,0.223698,0.206245,0.206143,0.259370,0.104545,0.480139,0.557170,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1744.2200,2,0.185778,0.196990,0.205987,0.299305,0.111939,0.431016,0.592341,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1744.4200,2,0.179764,0.207560,0.209959,0.293080,0.109636,0.435018,0.582619,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1744.6200,2,0.173795,0.231656,0.217280,0.263513,0.113758,0.457494,0.548080,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1744.8200,2,0.198312,0.215644,0.219847,0.259167,0.107030,0.463572,0.541042,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1745.0200,2,0.245724,0.171601,0.220536,0.266564,0.095576,0.461425,0.547246,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1745.2200,2,0.271809,0.159568,0.221405,0.254308,0.092909,0.475562,0.534583,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1745.4200,2,0.286289,0.132720,0.221501,0.277005,0.082485,0.456678,0.555670,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1745.6200,2,0.289203,0.080564,0.219091,0.323506,0.087636,0.405285,0.596217,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1745.8200,2,0.273407,0.088530,0.208505,0.334406,0.095152,0.399997,0.615950,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1746.0200,2,0.254203,0.127776,0.191173,0.329151,0.097697,0.423338,0.632588,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1746.2200,2,0.247664,0.139802,0.185511,0.320780,0.106242,0.433525,0.633588,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1746.4200,2,0.260298,0.134180,0.185912,0.318641,0.100970,0.438782,0.631531,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1746.6200,2,0.235145,0.139727,0.182440,0.335536,0.107152,0.419861,0.647783,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1746.8200,2,0.249734,0.127204,0.186269,0.333520,0.103273,0.420349,0.641645,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1747.0200,2,0.277908,0.105629,0.194659,0.329622,0.092182,0.422483,0.628712,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1747.2200,2,0.255766,0.106320,0.194609,0.343426,0.099879,0.402264,0.638296,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1747.4200,2,0.198459,0.139074,0.189576,0.352043,0.120848,0.383930,0.649982,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1747.6200,2,0.204437,0.162872,0.191192,0.331984,0.109515,0.412483,0.634555,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1747.8200,2,0.248957,0.169478,0.196611,0.308651,0.076303,0.453000,0.610872,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1748.0200,2,0.204384,0.206814,0.191890,0.304790,0.092121,0.452922,0.613655,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1748.2200,2,0.182320,0.219348,0.191677,0.304352,0.102303,0.447443,0.613578,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1748.4200,2,0.178839,0.220497,0.183506,0.314795,0.102364,0.444874,0.631737,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1748.6200,2,0.190859,0.215471,0.166988,0.325106,0.101576,0.452270,0.660659,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1748.8200,2,0.242184,0.195663,0.169466,0.310687,0.082000,0.476957,0.647059,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1749.0200,2,0.204678,0.201561,0.172602,0.324674,0.096485,0.449620,0.652905,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1749.2200,2,0.163159,0.216562,0.170951,0.347813,0.101515,0.422623,0.670464,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1749.4200,2,0.199486,0.199203,0.179109,0.329171,0.093030,0.439584,0.647617,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1749.6200,2,0.228331,0.180866,0.189951,0.307277,0.093576,0.451441,0.617980,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1749.8200,2,0.264509,0.156154,0.201529,0.290656,0.087152,0.460824,0.590542,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1750.0200,2,0.291040,0.128236,0.215892,0.282954,0.081879,0.456667,0.567217,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1750.2200,2,0.272531,0.126541,0.218639,0.300106,0.082182,0.434806,0.578523,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1750.4200,2,0.243931,0.152636,0.217028,0.306041,0.080364,0.431221,0.585087,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1750.6200,2,0.190959,0.199689,0.213627,0.301664,0.094061,0.431207,0.585424,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1750.8200,2,0.173537,0.241786,0.184466,0.307059,0.093152,0.457985,0.624706,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1751.0200,2,0.180525,0.242194,0.181560,0.305538,0.090182,0.464620,0.627262,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1751.2200,2,0.166348,0.253228,0.173649,0.311138,0.095636,0.463947,0.641803,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1751.4200,2,0.185963,0.262799,0.161294,0.297400,0.092545,0.494528,0.648363,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1751.6200,2,0.243400,0.236630,0.163473,0.287345,0.069152,0.515691,0.637385,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1751.8200,2,0.309123,0.188891,0.171032,0.283196,0.047758,0.522991,0.623467,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1752.0200,2,0.249752,0.196852,0.165955,0.306593,0.080848,0.485887,0.648808,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1752.2200,2,0.212100,0.215072,0.164955,0.321813,0.086061,0.467396,0.661121,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1752.4200,2,0.192734,0.231557,0.163190,0.324399,0.088121,0.465292,0.665313,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1752.6200,2,0.176259,0.244637,0.172177,0.316503,0.090424,0.462738,0.647670,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1752.8200,2,0.187007,0.249114,0.192314,0.282292,0.089273,0.478871,0.594793,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1753.0200,2,0.221316,0.236716,0.200660,0.263550,0.077758,0.496651,0.567738,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
