parameter,value,generation,best_negative_share
population_size,220.0,163,0.0388965173
population_size,220.0,164,0.0388965173
population_size,220.0,165,0.0388965173
population_size,220.0,166,0.0388965173
population_size,220.0,167,0.0388965173
population_size,220.0,168,0.0388965173
population_size,220.0,169,0.0388965173
population_size,220.0,170,0.0388965173
population_size,220.0,171,0.0388965173
population_size,220.0,172,0.0388965173
population_size,220.0,173,0.0386967919
population_size,220.0,174,0.0385969292
population_size,220.0,175,0.0385969292
population_size,220.0,176,0.0385969292
population_size,220.0,177,0.0385969292
population_size,220.0,178,0.0385969292
population_size,220.0,179,0.0385969292
population_size,220.0,180,0.0385969292
population_size,220.0,181,0.0385969292
population_size,220.0,182,0.0385969292
population_size,220.0,183,0.0385969292
population_size,220.0,184,0.0385969292
population_size,220.0,185,0.0385969292
population_size,220.0,186,0.0385969292
population_size,220.0,187,0.0385969292
population_size,220.0,188,0.0385969292
population_size,220.0,189,0.0385969292
population_size,220.0,190,0.0385969292
population_size,220.0,191,0.0385969292
population_size,220.0,192,0.0385969292
population_size,220.0,193,0.0385969292
population_size,220.0,194,0.0385969292
population_size,220.0,195,0.0385969292
population_size,220.0,196,0.0385969292
population_size,220.0,197,0.0385969292
population_size,220.0,198,0.0385969292
population_size,220.0,199,0.0385969292
population_size,220.0,200,0.0385969292
cxpb,0.6,0,0.1480714018
cxpb,0.6,1,0.1463987018
cxpb,0.6,2,0.1244289102
cxpb,0.6,3,0.1154662339
cxpb,0.6,4,0.0995880664
cxpb,0.6,5,0.0995880664
cxpb,0.6,6,0.0983148171
cxpb,0.6,7,0.0847584571
cxpb,0.6,8,0.0847584571
cxpb,0.6,9,0.0834602422
cxpb,0.6,10,0.0834602422
cxpb,0.6,11,0.0833354138
cxpb,0.6,12,0.0821120959
cxpb,0.6,13,0.0817126451
cxpb,0.6,14,0.0792909749
cxpb,0.6,15,0.0792909749
cxpb,0.6,16,0.0770190987
cxpb,0.6,17,0.0760953689
cxpb,0.6,18,0.0751466733
cxpb,0.6,19,0.0752715017
cxpb,0.6,20,0.0750717763
cxpb,0.6,21,0.0735488703
cxpb,0.6,22,0.0734240419
cxpb,0.6,23,0.0732492822
cxpb,0.6,24,0.0724254151
cxpb,0.6,25,0.0717014106
cxpb,0.6,26,0.0717014106
cxpb,0.6,27,0.0610410685
cxpb,0.6,28,0.0608663088
cxpb,0.6,29,0.0608413432
cxpb,0.6,30,0.0607414805
cxpb,0.6,31,0.0513793534
cxpb,0.6,32,0.0508550743
cxpb,0.6,33,0.0513793534
cxpb,0.6,34,0.0470852578
cxpb,0.6,35,0.0469354637
cxpb,0.6,36,0.0468605667
cxpb,0.6,37,0.0460117339
cxpb,0.6,38,0.0459118712
cxpb,0.6,39,0.0459118712
cxpb,0.6,40,0.0458869055
cxpb,0.6,41,0.0458120085
cxpb,0.6,42,0.0457620771
cxpb,0.6,43,0.0439895144
cxpb,0.6,44,0.0439146174
cxpb,0.6,45,0.0439146174
cxpb,0.6,46,0.0439146174
cxpb,0.6,47,0.0436899264
cxpb,0.6,48,0.0434652353
cxpb,0.6,49,0.0434652353
cxpb,0.6,50,0.0431157159
cxpb,0.6,51,0.0431157159
cxpb,0.6,52,0.0431157159
cxpb,0.6,53,0.0429159905
cxpb,0.6,54,0.0429159905
cxpb,0.6,55,0.0426912995
cxpb,0.6,56,0.0426912995
cxpb,0.6,57,0.0426912995
cxpb,0.6,58,0.0426912995
cxpb,0.6,59,0.0426663338
cxpb,0.6,60,0.0424416427
cxpb,0.6,61,0.0422668830
cxpb,0.6,62,0.0422668830
cxpb,0.6,63,0.0422668830
cxpb,0.6,64,0.0411434278
cxpb,0.6,65,0.0411434278
cxpb,0.6,66,0.0411434278
cxpb,0.6,67,0.0411434278
cxpb,0.6,68,0.0411184621
cxpb,0.6,69,0.0402196979
cxpb,0.6,70,0.0402196979
cxpb,0.6,71,0.0402196979
cxpb,0.6,72,0.0401697666
cxpb,0.6,73,0.0400699039
cxpb,0.6,74,0.0398701785
cxpb,0.6,75,0.0398701785
cxpb,0.6,76,0.0397203845
cxpb,0.6,77,0.0397203845
cxpb,0.6,78,0.0397203845
cxpb,0.6,79,0.0396205218
cxpb,0.6,80,0.0396205218
cxpb,0.6,81,0.0395955561
cxpb,0.6,82,0.0395955561
cxpb,0.6,83,0.0395955561
cxpb,0.6,84,0.0395705904
cxpb,0.6,85,0.0395705904
cxpb,0.6,86,0.0395206591
cxpb,0.6,87,0.0394956934
cxpb,0.6,88,0.0393958307
cxpb,0.6,89,0.0392959680
cxpb,0.6,90,0.0386468606
cxpb,0.6,91,0.0386468606
cxpb,0.6,92,0.0386468606
cxpb,0.6,93,0.0386468606
cxpb,0.6,94,0.0386468606
cxpb,0.6,95,0.0385969292
cxpb,0.6,96,0.0385469979
cxpb,0.6,97,0.0385469979
cxpb,0.6,98,0.0385469979
cxpb,0.6,99,0.0385469979
cxpb,0.6,100,0.0385469979
cxpb,0.6,101,0.0385469979
cxpb,0.6,102,0.0385469979
cxpb,0.6,103,0.0385469979
cxpb,0.6,104,0.0385469979
cxpb,0.6,105,0.0385469979
cxpb,0.6,106,0.0385469979
cxpb,0.6,107,0.0385469979
cxpb,0.6,108,0.0385469979
cxpb,0.6,109,0.0385469979
cxpb,0.6,110,0.0385469979
cxpb,0.6,111,0.0385469979
cxpb,0.6,112,0.0385469979
cxpb,0.6,113,0.0385469979
cxpb,0.6,114,0.0385469979
cxpb,0.6,115,0.0385220322
cxpb,0.6,116,0.0385220322
cxpb,0.6,117,0.0385220322
cxpb,0.6,118,0.0385220322
cxpb,0.6,119,0.0385220322
cxpb,0.6,120,0.0385220322
cxpb,0.6,121,0.0385220322
cxpb,0.6,122,0.0385220322
cxpb,0.6,123,0.0385220322
cxpb,0.6,124,0.0385220322
cxpb,0.6,125,0.0385220322
cxpb,0.6,126,0.0385220322
cxpb,0.6,127,0.0385220322
cxpb,0.6,128,0.0385220322
cxpb,0.6,129,0.0385220322
cxpb,0.6,130,0.0385220322
cxpb,0.6,131,0.0385220322
cxpb,0.6,132,0.0385220322
cxpb,0.6,133,0.0383223068
cxpb,0.6,134,0.0383223068
cxpb,0.6,135,0.0383223068
cxpb,0.6,136,0.0383223068
cxpb,0.6,137,0.0383223068
cxpb,0.6,138,0.0382973412
cxpb,0.6,139,0.0382973412
cxpb,0.6,140,0.0382973412
cxpb,0.6,141,0.0382973412
cxpb,0.6,142,0.0382973412
cxpb,0.6,143,0.0382973412
cxpb,0.6,144,0.0382973412
cxpb,0.6,145,0.0382973412
cxpb,0.6,146,0.0382973412
cxpb,0.6,147,0.0382973412
cxpb,0.6,148,0.0382973412
cxpb,0.6,149,0.0382973412
cxpb,0.6,150,0.0382973412
cxpb,0.6,151,0.0382973412
cxpb,0.6,152,0.0382973412
cxpb,0.6,153,0.0382973412
cxpb,0.6,154,0.0382973412
cxpb,0.6,155,0.0382973412
cxpb,0.6,156,0.0382973412
cxpb,0.6,157,0.0382973412
cxpb,0.6,158,0.0382973412
cxpb,0.6,159,0.0382973412
cxpb,0.6,160,0.0382973412
cxpb,0.6,161,0.0382973412
cxpb,0.6,162,0.0382973412
cxpb,0.6,163,0.0382973412
cxpb,0.6,164,0.0382973412
cxpb,0.6,165,0.0382973412
cxpb,0.6,166,0.0382973412
cxpb,0.6,167,0.0382973412
cxpb,0.6,168,0.0382973412
cxpb,0.6,169,0.0382973412
cxpb,0.6,170,0.0382973412
cxpb,0.6,171,0.0382973412
cxpb,0.6,172,0.0382973412
cxpb,0.6,173,0.0382973412
cxpb,0.6,174,0.0382973412
cxpb,0.6,175,0.0382973412
cxpb,0.6,176,0.0382973412
cxpb,0.6,177,0.0382973412
cxpb,0.6,178,0.0382973412
cxpb,0.6,179,0.0382973412
cxpb,0.6,180,0.0382973412
cxpb,0.6,181,0.0382973412
cxpb,0.6,182,0.0382973412
cxpb,0.6,183,0.0382973412
cxpb,0.6,184,0.0382973412
cxpb,0.6,185,0.0382973412
cxpb,0.6,186,0.0382973412
cxpb,0.6,187,0.0382973412
cxpb,0.6,188,0.0382973412
cxpb,0.6,189,0.0382973412
cxpb,0.6,190,0.0382973412
cxpb,0.6,191,0.0382973412
cxpb,0.6,192,0.0382973412
cxpb,0.6,193,0.0382973412
cxpb,0.6,194,0.0382973412
cxpb,0.6,195,0.0382973412
cxpb,0.6,196,0.0382973412
cxpb,0.6,197,0.0382973412
cxpb,0.6,198,0.0382973412
cxpb,0.6,199,0.0382973412
cxpb,0.6,200,0.0382973412
mutpb,0.25,0,0.1474971914
mutpb,0.25,1,0.1454749719
mutpb,0.25,2,0.1454749719
mutpb,0.25,3,0.1224815878
mutpb,0.25,4,0.1224815878
mutpb,0.25,5,0.0912744976
mutpb,0.25,6,0.0912744976
mutpb,0.25,7,0.0762701286
mutpb,0.25,8,0.0659593060
mutpb,0.25,9,0.0659593060
mutpb,0.25,10,0.0659593060
mutpb,0.25,11,0.0659593060
mutpb,0.25,12,0.0584945700
mutpb,0.25,13,0.0527524654
mutpb,0.25,14,0.0517039071
mutpb,0.25,15,0.0507302459
mutpb,0.25,16,0.0506803146
mutpb,0.25,17,0.0497815504
mutpb,0.25,18,0.0486830608
