interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,10,1600.34,1602.14,10,ga,0.0,0.0,glin_bad_share,0.0,2.18020260008052,16953,0,50
1,1,10,30,1602.34,1606.14,20,ga,0.061000000000000006,0.02,coll_bad_share,0.45,3.2699714000336826,24860,0,75
2,2,30,200,1606.34,1640.14,170,ga,0.01223529411764706,0.015294117647058824,glin_bad_share,0.0,2.8217501000035554,18602,0,55
3,1,200,224,1640.34,1644.94,24,ga,0.004166666666666667,0.0,coll_bad_share,0.041666666666666664,2.1092520999955013,16648,0,50
4,2,224,289,1645.14,1657.94,65,ga,0.032,0.04,glin_bad_share,0.0,2.8809703000588343,20561,0,61
5,1,289,299,1658.14,1659.94,10,ga,0.0,0.0,coll_bad_share,0.0,2.05288199998904,16648,0,50
6,2,299,423,1660.14,1684.74,124,ga,0.013225806451612905,0.014516129032258065,glin_bad_share,0.016129032258064516,3.398001000052318,23225,0,69
7,1,423,453,1684.94,1690.74,30,ga,0.02666666666666667,0.03333333333333333,coll_bad_share,0.0,3.25318400003016,23227,0,70
8,2,453,459,1690.94,1691.94,6,ga,0.0,0.0,glin_bad_share,0.0,2.176878400030546,17289,0,51
