interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,76,2920.0,2935.0,76,bf,0.1936842105263158,0.24210526315789474,glin_bad_share,0.0,6.338841400051024,65536,32,0
1,1,76,136,2935.2,2947.0,60,bf,0.0,0.0,coll_bad_share,0.0,6.205938400002196,65536,16,0
2,2,136,207,2947.2,2961.2,71,bf,0.014084507042253521,0.014084507042253521,glin_bad_share,0.028169014084507043,6.437027600011788,65536,32,0
3,1,207,218,2961.4,2963.4,11,bf,0.0,0.0,coll_bad_share,0.0,5.469772699987516,65536,16,0
4,2,218,252,2963.6,2970.2,34,bf,0.035882352941176476,0.041176470588235294,glin_bad_share,0.029411764705882353,5.697713700006716,65536,32,0
5,1,252,285,2970.4,2976.8,33,bf,0.0030303030303030307,0.0,coll_bad_share,0.030303030303030304,5.769975000002887,65536,16,0
6,2,285,400,2977.0,2999.8,115,bf,0.04017391304347826,0.04695652173913043,glin_bad_share,0.02608695652173913,6.96977229998447,65536,32,0
