interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,76,2920.0,2935.0,76,ga,0.19157894736842107,0.2394736842105263,glin_bad_share,0.0,0.4975733000028413,6958,0,44
1,1,76,136,2935.2,2947.0,60,ga,0.0,0.0,coll_bad_share,0.0,0.4249584999997751,5157,0,32
2,2,136,207,2947.2,2961.2,71,ga,0.014084507042253521,0.014084507042253521,glin_bad_share,0.028169014084507043,0.44580690000293544,6359,0,40
3,1,207,218,2961.4,2963.4,11,ga,0.0,0.0,coll_bad_share,0.0,0.2649572000009357,4092,0,25
4,2,218,252,2963.6,2970.2,34,ga,0.04058823529411765,0.047058823529411764,glin_bad_share,0.029411764705882353,0.32725899999786634,4725,0,29
5,1,252,285,2970.4,2976.8,33,ga,0.0030303030303030307,0.0,coll_bad_share,0.030303030303030304,0.2993258999995305,4092,0,25
6,2,285,400,2977.0,2999.8,115,ga,0.042782608695652175,0.04695652173913043,glin_bad_share,0.05217391304347826,0.5946999999941909,8368,0,53
