interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,73,1636.18,1650.58,73,bf,0.06301369863013698,0.0273972602739726,glin_bad_share,0.410958904109589,7.230486900021788,65536,32,0
1,1,73,121,1650.78,1660.18,48,bf,0.020000000000000004,0.025,coll_bad_share,0.0,7.17045729997335,65536,16,0
2,2,121,202,1660.38,1676.38,81,bf,0.04345679012345679,0.04197530864197531,glin_bad_share,0.09876543209876543,7.947591900010593,65536,32,0
3,1,202,222,1676.58,1680.38,20,bf,0.024,0.03,coll_bad_share,0.0,6.138615200005006,65536,16,0
4,2,222,362,1680.58,1708.38,140,bf,0.01442857142857143,0.002857142857142857,glin_bad_share,0.12142857142857143,7.734947399992961,65536,32,0
5,1,362,408,1708.58,1717.58,46,bf,0.017391304347826087,0.021739130434782608,coll_bad_share,0.0,6.67669819999719,65536,16,0
6,2,408,422,1717.78,1720.38,14,bf,0.018571428571428572,0.014285714285714285,glin_bad_share,0.07142857142857142,5.95830090000527,65536,32,0
