interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,73,1636.18,1650.58,73,ga,0.06054794520547945,0.06027397260273973,glin_bad_share,0.1232876712328767,7.78148320002947,43870,0,132
1,1,73,121,1650.78,1660.18,48,ga,0.020000000000000004,0.025,coll_bad_share,0.0,3.389583299984224,20880,0,63
2,2,121,202,1660.38,1676.38,81,ga,0.03481481481481481,0.01728395061728395,glin_bad_share,0.20987654320987653,4.94865439995192,25864,0,77
3,1,202,222,1676.58,1680.38,20,ga,0.024,0.03,coll_bad_share,0.0,2.5918244998902082,16648,0,50
4,2,222,362,1680.58,1708.38,140,ga,0.009142857142857144,0.004285714285714286,glin_bad_share,0.05714285714285714,9.811859800014645,52960,0,160
5,1,362,408,1708.58,1717.58,46,ga,0.020869565217391306,0.02608695652173913,coll_bad_share,0.0,3.6502271000063047,20551,0,62
6,2,408,422,1717.78,1720.38,14,ga,0.032857142857142856,0.014285714285714285,glin_bad_share,0.21428571428571427,2.849076599930413,19597,0,58
