interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,141,1614.42,1642.42,141,ga,0.026808510638297874,0.018439716312056736,glin_bad_share,0.12056737588652482,6.004260799963959,29473,0,88
1,1,141,159,1642.62,1646.02,18,ga,0.0,0.0,coll_bad_share,0.0,2.5152135000098497,16648,0,50
2,2,159,212,1646.22,1656.62,53,ga,0.03849056603773585,0.01509433962264151,glin_bad_share,0.2641509433962264,4.993356900056824,27186,0,81
3,1,212,244,1656.82,1663.02,32,ga,0.005000000000000001,0.00625,coll_bad_share,0.0,3.457810499938205,22212,0,67
4,2,244,428,1663.22,1699.82,184,ga,0.04043478260869565,0.03152173913043478,glin_bad_share,0.15217391304347827,8.96966549998615,44200,0,133
