parameter,value,elapsed_sec,final_best_negative_share,global_best_negative_share,global_best_negative_count
population_size,120.0,0.158646,0.1352390463,0.1352390463,5417
population_size,160.0,0.207468,0.1051054800,0.1051054800,4210
cxpb,0.5,0.266644,0.1205841967,0.1205841967,4830
cxpb,0.7,0.306367,0.0754961927,0.0754961927,3024
mutpb,0.2,0.286311,0.0520284609,0.0520284609,2084
mutpb,0.35,0.305604,0.0628635626,0.0628635626,2518
tournsize,2.0,0.287541,0.1174385220,0.1158906504,4642
tournsize,4.0,0.296267,0.0675321433,0.0675321433,2705
