start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1850.3000,1852.3000,2.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,10
1852.3000,1852.9000,0.6000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,3
1852.9000,1853.5000,0.6000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,3
1853.5000,1854.1000,0.6000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,3
1854.1000,1854.7000,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1854.7000,1855.1000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1855.1000,1855.5000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1855.5000,1855.7000,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1855.7000,1856.7000,1.0000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,5
1856.7000,1856.9000,0.2000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,1
1856.9000,1858.3000,1.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,7
1858.3000,1858.5000,0.2000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,1
1858.5000,1859.5000,1.0000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,5
1859.5000,1860.1000,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1860.1000,1860.5000,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1860.5000,1860.9000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1860.9000,1861.3000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1861.3000,1861.5000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1861.5000,1861.9000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1861.9000,1862.3000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1862.3000,1862.5000,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1862.5000,1862.9000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1862.9000,1863.1000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1863.1000,1866.9000,3.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,19
1866.9000,1867.3000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1867.3000,1867.9000,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1867.9000,1868.3000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1868.3000,1869.1000,0.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,4
1869.1000,1869.9000,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1869.9000,1870.1000,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1870.1000,1871.5000,1.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,7
1871.5000,1871.7000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1871.7000,1872.3000,0.6000,1,sand_arkose_wacke,пористый аркозовый песчаник,3
1872.3000,1872.5000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1872.5000,1872.9000,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1872.9000,1873.9000,1.0000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,5
1873.9000,1874.3000,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1874.3000,1874.7000,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1874.7000,1875.1000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1875.1000,1875.5000,0.4000,2,seal_kaolinite_clay,каолинитовая тяжелая глина,2
1875.5000,1876.3000,0.8000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,4
1876.3000,1877.3000,1.0000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,5
1877.3000,1878.1000,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1878.1000,1879.1000,1.0000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,5
1879.1000,1879.9000,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1879.9000,1880.3000,0.4000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,2
1880.3000,1881.1000,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1881.1000,1881.3000,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1881.3000,1881.5000,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1881.5000,1881.7000,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1881.7000,1881.9000,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1881.9000,1882.1000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1882.1000,1884.9000,2.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,14
1884.9000,1885.7000,0.8000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,4
1885.7000,1885.9000,0.2000,1,sand_arkose_arenite,высокопористый аркозовый аренит,1
1885.9000,1889.1000,3.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,16
1889.1000,1890.3000,1.2000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,6
1890.3000,1890.7000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1890.7000,1891.1000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1891.1000,1891.5000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1891.5000,1892.7000,1.2000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,6
1892.7000,1893.3000,0.6000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,3
1893.3000,1893.7000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1893.7000,1893.9000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1893.9000,1894.1000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1894.1000,1894.3000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1894.3000,1895.1000,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1895.1000,1895.3000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1895.3000,1895.7000,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1895.7000,1897.7000,2.0000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,10
1897.7000,1898.3000,0.6000,1,sand_arkose_arenite,высокопористый аркозовый аренит,3
1898.3000,1901.3000,3.0000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,15
1901.3000,1901.5000,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1901.5000,1901.7000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1901.7000,1902.1000,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1902.1000,1902.9000,0.8000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,4
1902.9000,1903.5000,0.6000,1,sand_arkose_arenite,высокопористый аркозовый аренит,3
1903.5000,1903.7000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1903.7000,1904.7000,1.0000,1,sand_arkose_arenite,высокопористый аркозовый аренит,5
1904.7000,1905.5000,0.8000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,4
1905.5000,1905.9000,0.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,2
1905.9000,1907.3000,1.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,7
1907.3000,1908.9000,1.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,8
1908.9000,1909.1000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1909.1000,1909.5000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1909.5000,1909.7000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1909.7000,1909.9000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1909.9000,1913.5000,3.6000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,18
1913.5000,1913.9000,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1913.9000,1915.7000,1.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,9
1915.7000,1916.3000,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
1916.3000,1919.5000,3.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,16
1919.5000,1919.9000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1919.9000,1920.1000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1920.1000,1920.3000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1920.3000,1921.1000,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1921.1000,1921.3000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1921.3000,1921.5000,0.2000,1,sand_arkose_arenite,высокопористый аркозовый аренит,1
1921.5000,1921.7000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
1921.7000,1922.5000,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1922.5000,1922.9000,0.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,2
1922.9000,1927.3000,4.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,22
1927.3000,1927.5000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1927.5000,1927.9000,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1927.9000,1928.9000,1.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,5
1928.9000,1929.3000,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1929.3000,1930.3000,1.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,5
1930.3000,1930.9000,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
