depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1911.0100,2,0.194333,0.206731,0.069326,0.275004,0.254606,0.538056,0.798665,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1911.2100,2,0.215470,0.189907,0.072286,0.278761,0.243576,0.535912,0.794084,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1911.4100,2,0.217815,0.179556,0.077757,0.270205,0.254667,0.533146,0.776535,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1911.6100,2,0.278325,0.120304,0.083334,0.293068,0.224970,0.514340,0.778605,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1911.8100,2,0.354767,0.051619,0.103252,0.307695,0.182667,0.497210,0.748747,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1912.0100,2,0.329302,0.031577,0.126031,0.326301,0.186788,0.443771,0.721375,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1912.2100,2,0.287009,0.063949,0.123954,0.329512,0.195576,0.436285,0.726653,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1912.4100,2,0.203454,0.230307,0.093074,0.260922,0.212242,0.550628,0.737077,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1912.6100,2,0.140377,0.423108,0.046847,0.172637,0.217030,0.719677,0.786558,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1912.8100,2,0.092487,0.527167,0.019902,0.139413,0.221030,0.795479,0.875076,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1913.0100,2,0.039462,0.512403,0.023891,0.171031,0.253212,0.738985,0.877431,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1913.2100,2,0.019066,0.383322,0.062757,0.243339,0.291515,0.567957,0.794976,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1913.4100,2,0.054633,0.227757,0.102983,0.309779,0.304848,0.406228,0.750503,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1913.6100,1,0.063511,0.030797,0.103623,0.484636,0.317433,0.138166,0.823848,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1913.8100,1,0.035735,0.026131,0.125637,0.476503,0.335994,0.093171,0.791349,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1914.0100,1,0.001362,0.028712,0.142075,0.475611,0.352241,0.046427,0.769988,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1914.2100,1,0.005093,0.021166,0.159382,0.462242,0.352117,0.040530,0.743604,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1914.4100,1,0.026890,0.007664,0.164054,0.460536,0.340856,0.052423,0.737341,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1914.6100,1,0.004443,0.007441,0.154980,0.477927,0.355209,0.018431,0.755130,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1914.8100,1,0.000000,0.010398,0.150902,0.478274,0.360426,0.016258,0.760159,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1915.0100,1,0.003932,0.007537,0.153471,0.473301,0.361759,0.017969,0.755141,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1915.2100,1,0.042343,0.002133,0.169798,0.441804,0.343922,0.067792,0.722371,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1915.4100,1,0.054816,0.001189,0.181650,0.426348,0.335997,0.084344,0.701233,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1915.6100,1,0.059921,0.003089,0.172329,0.435178,0.329483,0.093972,0.716334,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1915.8100,1,0.070330,0.008174,0.164837,0.439898,0.316760,0.114900,0.727423,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1916.0100,1,0.061235,0.018414,0.145260,0.456501,0.318590,0.116889,0.758609,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1916.2100,1,0.049573,0.027331,0.135984,0.462515,0.324598,0.113863,0.772792,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
