depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1837.2000,1,0.047307,0.017894,0.195646,0.463921,0.275231,0.089961,0.703372,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1837.4000,1,0.042892,0.019233,0.198040,0.458054,0.281781,0.086498,0.698153,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1837.6000,1,0.036234,0.017764,0.187374,0.472191,0.286437,0.075674,0.715913,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1837.8000,1,0.017536,0.014378,0.180152,0.490086,0.297849,0.045451,0.731212,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1838.0000,1,0.016148,0.009317,0.189453,0.480267,0.304815,0.036631,0.717116,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1838.2000,1,0.033806,0.004700,0.196126,0.463019,0.302349,0.055193,0.702454,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1838.4000,1,0.038802,0.004098,0.198102,0.452132,0.306865,0.061894,0.695337,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1838.6000,1,0.026825,0.009039,0.193147,0.454004,0.316984,0.052510,0.701543,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1838.8000,1,0.040259,0.014131,0.172006,0.472858,0.300746,0.077783,0.733268,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1839.0000,1,0.048699,0.016561,0.152793,0.502719,0.279227,0.090542,0.766910,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1839.2000,1,0.029359,0.017983,0.153906,0.528609,0.270145,0.064864,0.774502,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1839.4000,1,0.019534,0.016676,0.157886,0.541763,0.264142,0.049207,0.774336,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1839.6000,1,0.019129,0.010340,0.167029,0.547061,0.256441,0.039633,0.766096,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1839.8000,1,0.037282,0.005334,0.178663,0.539310,0.239410,0.056031,0.751156,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1840.0000,1,0.040984,0.011832,0.181899,0.518409,0.246877,0.070130,0.740259,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1840.2000,1,0.035768,0.020475,0.177451,0.496464,0.269841,0.077030,0.736686,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
