interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,1,0,89,1697.35,1714.95,89,ga,0.005842696629213484,0.0044943820224719105,coll_bad_share,0.02247191011235955,1.5569159999722615,11167,0,71
1,2,89,282,1715.15,1753.55,193,ga,0.02663212435233161,0.014507772020725389,glin_bad_share,0.15025906735751296,2.2590620999690145,15484,0,99
2,1,282,309,1753.75,1758.95,27,ga,0.0,0.0,coll_bad_share,0.0,1.0367524000466801,7957,0,50
3,2,309,344,1759.15,1765.95,35,ga,0.011428571428571429,0.0,glin_bad_share,0.11428571428571428,1.2444071999634616,9735,0,62
4,1,344,391,1766.15,1775.35,47,ga,0.0,0.0,coll_bad_share,0.0,1.222718199947849,8863,0,56
5,2,391,403,1775.55,1777.75,12,ga,0.0,0.0,glin_bad_share,0.0,1.0617754999548197,8683,0,55
