interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,19,1837.92,1841.52,19,ga,0.055789473684210535,0.06315789473684211,glin_bad_share,0.05263157894736842,1.1450256999814883,9583,0,61
1,1,19,41,1841.72,1845.92,22,ga,0.02181818181818182,0.02727272727272727,coll_bad_share,0.0,0.9687326000421308,7957,0,50
2,2,41,89,1846.12,1855.52,48,ga,0.037500000000000006,0.020833333333333332,glin_bad_share,0.20833333333333334,1.2390933000133373,10045,0,64
3,1,89,173,1855.72,1872.32,84,ga,0.011428571428571429,0.014285714285714285,coll_bad_share,0.0,1.207193699956406,9628,0,61
4,2,173,250,1872.52,1887.72,77,ga,0.00857142857142857,0.0025974025974025974,glin_bad_share,0.06493506493506493,1.368131999974139,11299,0,72
5,1,250,260,1887.92,1889.72,10,ga,0.0,0.0,coll_bad_share,0.0,0.8837993000051938,7957,0,50
6,2,260,277,1889.92,1893.12,17,ga,0.029411764705882356,0.0,glin_bad_share,0.29411764705882354,1.0881979000405408,9583,0,61
7,1,277,310,1893.32,1899.72,33,ga,0.03393939393939394,0.04242424242424243,coll_bad_share,0.0,0.9391016999725252,8111,0,51
8,2,310,396,1899.92,1916.92,86,ga,0.031395348837209305,0.011627906976744186,glin_bad_share,0.22093023255813954,1.975917199975811,16104,0,103
9,1,396,445,1917.12,1926.72,49,ga,0.029387755102040822,0.036734693877551024,coll_bad_share,0.0,1.9792515000444837,16401,0,105
10,2,445,468,1926.92,1931.32,23,ga,0.06260869565217392,0.034782608695652174,glin_bad_share,0.34782608695652173,1.2089280000072904,10193,0,65
