start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1611.7300,1611.9300,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1611.9300,1613.5300,1.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,8
1613.5300,1613.9300,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1613.9300,1615.1300,1.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,6
1615.1300,1618.9300,3.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,19
1618.9300,1619.1300,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1619.1300,1621.7300,2.6000,1,sand_arkose_wacke,пористый аркозовый песчаник,13
1621.7300,1621.9300,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1621.9300,1623.7300,1.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,9
1623.7300,1623.9300,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1623.9300,1624.1300,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1624.1300,1624.5300,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1624.5300,1624.7300,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1624.7300,1624.9300,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1624.9300,1625.5300,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
1625.5300,1625.7300,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1625.7300,1626.5300,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1626.5300,1626.7300,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1626.7300,1629.1300,2.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,12
1629.1300,1629.9300,0.8000,1,sand_arkose_wacke,плотный аркозовый песчаник,4
1629.9300,1630.1300,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1630.1300,1630.9300,0.8000,1,sand_arkose_wacke,плотный аркозовый песчаник,4
1630.9300,1631.7300,0.8000,1,sand_arkose_wacke,пористый аркозовый песчаник,4
1631.7300,1637.5300,5.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,29
1637.5300,1638.1300,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1638.1300,1644.9300,6.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,34
1644.9300,1645.5300,0.6000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,3
1645.5300,1645.7300,0.2000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,1
1645.7300,1646.9300,1.2000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,6
1646.9300,1647.3300,0.4000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,2
1647.3300,1647.9300,0.6000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,3
1647.9300,1648.5300,0.6000,1,sand_arkose_wacke,пористый аркозовый песчаник,3
1648.5300,1648.9300,0.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,2
1648.9300,1649.1300,0.2000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,1
1649.1300,1650.3300,1.2000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,6
1650.3300,1650.9300,0.6000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,3
1650.9300,1651.1300,0.2000,1,sand_subarkose_arenite,пористый субаркозовый аренит,1
1651.1300,1651.7300,0.6000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,3
1651.7300,1651.9300,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1651.9300,1652.3300,0.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,2
1652.3300,1652.5300,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1652.5300,1652.7300,0.2000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,1
1652.7300,1653.1300,0.4000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,2
1653.1300,1653.3300,0.2000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,1
1653.3300,1653.5300,0.2000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,1
1653.5300,1654.5300,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1654.5300,1655.1300,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1655.1300,1655.3300,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1655.3300,1656.5300,1.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,6
1656.5300,1657.5300,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1657.5300,1658.5300,1.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,5
1658.5300,1659.5300,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1659.5300,1660.9300,1.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,7
1660.9300,1661.3300,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1661.3300,1662.5300,1.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,6
1662.5300,1663.3300,0.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,4
1663.3300,1663.5300,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1663.5300,1663.7300,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1663.7300,1663.9300,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1663.9300,1664.3300,0.4000,1,sand_subarkose_wacke,плотный субаркозовый песчаник,2
1664.3300,1665.7300,1.4000,1,sand_arkose_wacke,плотный аркозовый песчаник,7
1665.7300,1666.1300,0.4000,1,sand_arkose_wacke,пористый аркозовый песчаник,2
1666.1300,1666.3300,0.2000,1,sand_arkose_wacke,плотный аркозовый песчаник,1
1666.3300,1666.5300,0.2000,1,sand_arkose_wacke,пористый аркозовый песчаник,1
1666.5300,1667.5300,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1667.5300,1668.5300,1.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,5
1668.5300,1671.5300,3.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,15
1671.5300,1671.9300,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1671.9300,1672.3300,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1672.3300,1672.5300,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1672.5300,1672.9300,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1672.9300,1673.5300,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1673.5300,1673.9300,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1673.9300,1674.3300,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1674.3300,1676.5300,2.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,11
1676.5300,1677.3300,0.8000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,4
1677.3300,1678.7300,1.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,7
1678.7300,1679.1300,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1679.1300,1679.9300,0.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,4
1679.9300,1680.9300,1.0000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,5
1680.9300,1681.5300,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
