depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1850.4000,2,0.252860,0.324522,0.180625,0.155083,0.086909,0.632338,0.461958,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1850.6000,2,0.240965,0.296817,0.186185,0.179064,0.096970,0.595530,0.490251,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1850.8000,2,0.268634,0.238235,0.190793,0.196338,0.106000,0.566967,0.507161,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1851.0000,2,0.299880,0.167198,0.191023,0.219900,0.122000,0.531979,0.535137,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1851.2000,2,0.314068,0.173454,0.181014,0.208554,0.122909,0.555841,0.535346,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1851.4000,2,0.338882,0.199930,0.167716,0.184987,0.108485,0.604378,0.524485,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1851.6000,2,0.343615,0.217577,0.159624,0.184578,0.094606,0.619832,0.536249,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1851.8000,2,0.328212,0.259812,0.165745,0.165928,0.080303,0.639367,0.500275,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1852.0000,2,0.312593,0.295554,0.190541,0.137070,0.064242,0.649898,0.418392,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1852.2000,2,0.354441,0.227915,0.204542,0.126921,0.086182,0.637277,0.382910,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1852.4000,2,0.356791,0.279635,0.180086,0.092154,0.091333,0.700396,0.338501,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1852.6000,2,0.310920,0.432011,0.145713,0.056508,0.054848,0.786044,0.279435,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1852.8000,2,0.262240,0.455837,0.145088,0.076896,0.059939,0.763862,0.346402,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1853.0000,2,0.161641,0.511509,0.141970,0.111001,0.073879,0.726848,0.438790,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1853.2000,2,0.122281,0.511920,0.147558,0.140119,0.078121,0.687945,0.487071,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1853.4000,2,0.060661,0.574228,0.143864,0.167792,0.053455,0.670743,0.538389,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1853.6000,2,0.032955,0.610554,0.141071,0.181844,0.033576,0.665866,0.563134,плотный,seal_hydromica_argillite,гидрослюдистая легкая глина
1853.8000,2,0.089595,0.538566,0.157002,0.187685,0.027152,0.645693,0.544508,плотный,seal_hydromica_argillite,гидрослюдистая легкая глина
1854.0000,2,0.158535,0.482092,0.168930,0.161958,0.028485,0.659410,0.489464,плотный,seal_hydromica_argillite,гидрослюдистая легкая глина
1854.2000,2,0.215427,0.361498,0.177190,0.163219,0.082667,0.628915,0.479479,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1854.4000,2,0.251230,0.253057,0.173715,0.173937,0.148061,0.591929,0.500320,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1854.6000,2,0.201437,0.356759,0.146111,0.148723,0.146970,0.654369,0.504429,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1854.8000,2,0.171185,0.390082,0.135223,0.146238,0.157273,0.666012,0.519567,пористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1855.0000,2,0.152295,0.371072,0.129764,0.154747,0.192121,0.647829,0.543905,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1855.2000,2,0.175471,0.281555,0.149862,0.165354,0.227758,0.591817,0.524573,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1855.4000,2,0.163785,0.272526,0.162708,0.165284,0.235697,0.570862,0.503928,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1855.6000,2,0.090820,0.416845,0.140677,0.158142,0.193515,0.629479,0.529223,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1855.8000,2,0.045470,0.577644,0.112756,0.124251,0.139879,0.724449,0.524249,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1856.0000,2,0.072613,0.625123,0.104285,0.088525,0.109455,0.783492,0.459130,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1856.2000,2,0.116227,0.636424,0.112368,0.065344,0.069636,0.808986,0.367697,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1856.4000,2,0.166510,0.663064,0.122992,0.018404,0.029030,0.854377,0.130161,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1856.6000,2,0.263367,0.499095,0.159065,0.041624,0.036848,0.791633,0.207407,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1856.8000,2,0.326180,0.328462,0.202551,0.079171,0.063636,0.699132,0.281024,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1857.0000,2,0.333321,0.246156,0.237909,0.098008,0.084606,0.633036,0.291762,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1857.2000,2,0.298484,0.288493,0.229067,0.104985,0.078970,0.637305,0.314278,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1857.4000,2,0.276871,0.300936,0.213718,0.126293,0.082182,0.629544,0.371437,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1857.6000,2,0.271309,0.304387,0.207428,0.131179,0.085697,0.629656,0.387408,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1857.8000,2,0.254737,0.333332,0.205230,0.124277,0.082424,0.640894,0.377161,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1858.0000,2,0.235218,0.359966,0.210656,0.122098,0.072061,0.641405,0.366932,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1858.2000,2,0.230558,0.390672,0.204450,0.111229,0.063091,0.663063,0.352350,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1858.4000,2,0.229757,0.436888,0.187845,0.087207,0.058303,0.707919,0.317057,плотный,seal_hydromica_clay,гидрослюдистая тяжелая глина
1858.6000,2,0.249718,0.389334,0.197207,0.093559,0.070182,0.687288,0.321766,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1858.8000,2,0.307956,0.313057,0.200754,0.093809,0.084424,0.678276,0.318467,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1859.0000,2,0.363145,0.325854,0.180157,0.065207,0.065636,0.737399,0.265757,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1859.2000,2,0.315499,0.417035,0.149241,0.071254,0.046970,0.768638,0.323156,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1859.4000,2,0.268933,0.405568,0.134499,0.124636,0.066364,0.722445,0.480971,плотный,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1859.6000,2,0.340402,0.233466,0.166547,0.147100,0.112485,0.646601,0.468999,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
