start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1837.8200,1838.4200,0.6000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,3
1838.4200,1839.0200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1839.0200,1840.4200,1.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,7
1840.4200,1840.8200,0.4000,2,seal_silty_argillite,песчанистая легкая глина,2
1840.8200,1841.0200,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1841.0200,1841.6200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1841.6200,1842.0200,0.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,2
1842.0200,1842.4200,0.4000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,2
1842.4200,1846.0200,3.6000,1,sand_arkose_arenite,высокопористый аркозовый аренит,18
1846.0200,1847.0200,1.0000,2,seal_silty_argillite,песчанистая легкая глина,5
1847.0200,1847.4200,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1847.4200,1848.0200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1848.0200,1848.8200,0.8000,2,seal_kaolinite_argillite,каолинитовая легкая глина,4
1848.8200,1849.4200,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1849.4200,1849.6200,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1849.6200,1850.0200,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1850.0200,1850.8200,0.8000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,4
1850.8200,1854.0200,3.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,16
1854.0200,1854.8200,0.8000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,4
1854.8200,1855.6200,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1855.6200,1858.4200,2.8000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,14
