parameter,value,generation,best_negative_share
cxpb,0.65,19,0.1025000000
cxpb,0.65,20,0.1020000000
cxpb,0.65,21,0.1015000000
cxpb,0.65,22,0.1015000000
cxpb,0.65,23,0.1010000000
cxpb,0.65,24,0.1010000000
cxpb,0.65,25,0.1010000000
cxpb,0.65,26,0.1010000000
cxpb,0.65,27,0.0995000000
cxpb,0.65,28,0.0995000000
cxpb,0.65,29,0.0995000000
cxpb,0.65,30,0.0995000000
cxpb,0.65,31,0.0995000000
cxpb,0.65,32,0.0995000000
cxpb,0.65,33,0.0995000000
cxpb,0.65,34,0.0995000000
cxpb,0.65,35,0.0995000000
cxpb,0.65,36,0.0995000000
cxpb,0.65,37,0.0995000000
cxpb,0.65,38,0.0995000000
cxpb,0.65,39,0.0995000000
cxpb,0.65,40,0.0995000000
mutpb,0.22,0,0.1735000000
mutpb,0.22,1,0.1775000000
mutpb,0.22,2,0.1760000000
mutpb,0.22,3,0.1725000000
mutpb,0.22,4,0.1590000000
mutpb,0.22,5,0.1190000000
mutpb,0.22,6,0.1145000000
mutpb,0.22,7,0.1060000000
mutpb,0.22,8,0.1060000000
mutpb,0.22,9,0.1065000000
mutpb,0.22,10,0.1060000000
mutpb,0.22,11,0.1055000000
mutpb,0.22,12,0.1020000000
mutpb,0.22,13,0.1030000000
mutpb,0.22,14,0.1010000000
mutpb,0.22,15,0.1010000000
mutpb,0.22,16,0.1010000000
mutpb,0.22,17,0.1000000000
mutpb,0.22,18,0.0985000000
mutpb,0.22,19,0.0975000000
mutpb,0.22,20,0.0975000000
mutpb,0.22,21,0.0970000000
mutpb,0.22,22,0.0970000000
mutpb,0.22,23,0.0965000000
mutpb,0.22,24,0.0960000000
mutpb,0.22,25,0.0960000000
mutpb,0.22,26,0.0960000000
mutpb,0.22,27,0.0960000000
mutpb,0.22,28,0.0940000000
mutpb,0.22,29,0.0940000000
mutpb,0.22,30,0.0940000000
mutpb,0.22,31,0.0940000000
mutpb,0.22,32,0.0940000000
mutpb,0.22,33,0.0940000000
mutpb,0.22,34,0.0940000000
mutpb,0.22,35,0.0940000000
mutpb,0.22,36,0.0940000000
mutpb,0.22,37,0.0940000000
mutpb,0.22,38,0.0940000000
mutpb,0.22,39,0.0940000000
