interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,73,1636.18,1650.58,73,ga,0.06684931506849315,0.049315068493150684,glin_bad_share,0.273972602739726,1.4148696000338532,10671,0,68
1,1,73,121,1650.78,1660.18,48,ga,0.020000000000000004,0.025,coll_bad_share,0.0,1.2622159000020474,9481,0,60
2,2,121,202,1660.38,1676.38,81,ga,0.02592592592592593,0.012345679012345678,glin_bad_share,0.16049382716049382,1.79707969998708,13769,0,88
3,1,202,222,1676.58,1680.38,20,ga,0.024,0.03,coll_bad_share,0.0,0.9545325000071898,7957,0,50
4,2,222,362,1680.58,1708.38,140,ga,0.009857142857142858,0.004285714285714286,glin_bad_share,0.06428571428571428,1.9363158000051044,13180,0,84
5,1,362,408,1708.58,1717.58,46,ga,0.020869565217391306,0.02608695652173913,coll_bad_share,0.0,1.337862100044731,9782,0,62
6,2,408,422,1717.78,1720.38,14,ga,0.037142857142857144,0.02857142857142857,glin_bad_share,0.14285714285714285,1.0655518000130542,8221,0,52
