interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,1,0,89,1697.35,1714.95,89,ga,0.007640449438202248,0.006741573033707865,coll_bad_share,0.02247191011235955,3.3274427000433207,17607,0,53
1,2,89,282,1715.15,1753.55,193,ga,0.031088082901554407,0.015544041450777202,glin_bad_share,0.18652849740932642,5.675153500051238,27503,0,82
2,1,282,309,1753.75,1758.95,27,ga,0.0,0.0,coll_bad_share,0.0,2.6501751999603584,16648,0,50
3,2,309,344,1759.15,1765.95,35,ga,0.011428571428571429,0.0,glin_bad_share,0.11428571428571428,3.6680960999801755,21886,0,65
4,1,344,391,1766.15,1775.35,47,ga,0.0,0.0,coll_bad_share,0.0,3.206942400080152,20231,0,61
5,2,391,403,1775.55,1777.75,12,ga,0.0,0.0,glin_bad_share,0.0,3.0913913999684155,18940,0,56
