start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1888.5000,1890.5000,2.0000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,10
1890.5000,1891.5000,1.0000,1,sand_arkose_arenite,высокопористый аркозовый аренит,5
1891.5000,1892.7000,1.2000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,6
1892.7000,1893.1000,0.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,2
1893.1000,1893.7000,0.6000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,3
1893.7000,1894.3000,0.6000,1,sand_arkose_arenite,высокопористый аркозовый аренит,3
1894.3000,1894.7000,0.4000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,2
1894.7000,1894.9000,0.2000,1,sand_arkose_arenite,высокопористый аркозовый аренит,1
1894.9000,1895.5000,0.6000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,3
1895.5000,1896.9000,1.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,7
1896.9000,1897.5000,0.6000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,3
1897.5000,1898.9000,1.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,7
1898.9000,1902.3000,3.4000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,17
1902.3000,1902.5000,0.2000,2,seal_silty_argillite,песчанистая легкая глина,1
1902.5000,1902.7000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1902.7000,1903.3000,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
1903.3000,1903.9000,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1903.9000,1905.3000,1.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,7
1905.3000,1905.5000,0.2000,2,seal_silty_argillite,песчанистая легкая глина,1
1905.5000,1905.7000,0.2000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,1
1905.7000,1906.1000,0.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,2
1906.1000,1906.5000,0.4000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,2
1906.5000,1908.7000,2.2000,1,sand_arkose_arenite,высокопористый аркозовый аренит,11
1908.7000,1910.5000,1.8000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,9
1910.5000,1911.3000,0.8000,1,sand_arkose_arenite,высокопористый аркозовый аренит,4
1911.3000,1911.5000,0.2000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,1
1911.5000,1915.9000,4.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,22
1915.9000,1916.3000,0.4000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,2
1916.3000,1917.7000,1.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,7
1917.7000,1917.9000,0.2000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,1
1917.9000,1918.7000,0.8000,1,sand_arkose_arenite,высокопористый аркозовый аренит,4
1918.7000,1918.9000,0.2000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,1
